Season,MatchDate,HomeTeam,AwayTeam,home_ppg_season,home_gd_per_game_season,home_ppg_home_only,home_ppg_last5,home_goals_scored_last5,home_goals_conceded_last5,away_ppg_season,away_gd_per_game_season,away_ppg_away_only,away_ppg_last5,away_goals_scored_last5,away_goals_conceded_last5,h2h_home_winrate,h2h_home_avg_gd,result
2000/01,2000-08-21,Arsenal,Liverpool,0.0,-1.0,1.590232567787715,0.0,0.0,1.0,3.0,1.0,1.1574642504054269,3.0,1.0,0.0,0.3593727617573768,-0.06083748964990056,H
2000/01,2000-08-22,Bradford,Chelsea,0.0,-1.0,1.590232567787715,0.0,0.0,1.0,3.0,2.0,1.1574642504054269,3.0,4.0,2.0,0.3593727617573768,-0.06083748964990056,H
2000/01,2000-08-22,Ipswich,Man United,0.0,-2.0,1.590232567787715,0.0,1.0,3.0,3.0,2.0,1.1574642504054269,3.0,2.0,0.0,0.3593727617573768,-0.06083748964990056,D
2000/01,2000-08-22,Middlesbrough,Tottenham,3.0,2.0,1.590232567787715,3.0,3.0,1.0,3.0,2.0,1.1574642504054269,3.0,3.0,1.0,0.3593727617573768,-0.06083748964990056,D
2000/01,2000-08-23,West Ham,Leicester,0.0,-2.0,1.590232567787715,0.0,2.0,4.0,1.0,0.0,1.1574642504054269,1.0,0.0,0.0,0.3593727617573768,-0.06083748964990056,A
2000/01,2000-08-23,Newcastle,Derby,0.0,-2.0,1.590232567787715,0.0,0.0,2.0,1.0,0.0,1.1574642504054269,1.0,2.0,2.0,0.3593727617573768,-0.06083748964990056,H
2000/01,2000-08-23,Southampton,Coventry,1.0,0.0,1.590232567787715,1.0,2.0,2.0,0.0,-2.0,1.1574642504054269,0.0,1.0,3.0,0.3593727617573768,-0.06083748964990056,A
2000/01,2000-08-23,Everton,Charlton,0.0,-2.0,1.590232567787715,0.0,0.0,2.0,3.0,4.0,1.1574642504054269,3.0,4.0,0.0,0.3593727617573768,-0.06083748964990056,H
2000/01,2000-08-23,Man City,Sunderland,0.0,-4.0,1.590232567787715,0.0,0.0,4.0,3.0,1.0,1.1574642504054269,3.0,1.0,0.0,0.3593727617573768,-0.06083748964990056,H
2000/01,2000-08-26,Southampton,Liverpool,0.5,-0.5,0.0,0.5,1.5,2.0,1.5,-0.5,0.0,1.5,0.5,1.0,0.3593727617573768,-0.06083748964990056,D
2000/01,2000-08-26,Arsenal,Charlton,1.5,0.5,3.0,1.5,1.0,0.5,1.5,0.5,0.0,1.5,2.0,1.5,0.3593727617573768,-0.06083748964990056,H
2000/01,2000-08-26,Bradford,Leicester,1.5,0.5,3.0,1.5,1.0,0.5,2.0,0.5,3.0,2.0,0.5,0.0,0.3593727617573768,-0.06083748964990056,D
2000/01,2000-08-26,Everton,Derby,1.5,0.5,3.0,1.5,1.5,1.0,0.5,-0.5,0.0,0.5,2.0,2.5,0.3593727617573768,-0.06083748964990056,D
2000/01,2000-08-26,Ipswich,Sunderland,0.5,-1.0,1.0,0.5,1.0,2.0,1.5,-0.5,0.0,1.5,1.5,2.0,0.3593727617573768,-0.06083748964990056,H
2000/01,2000-08-26,Man City,Coventry,1.5,-1.0,3.0,1.5,2.0,3.0,1.5,-0.5,3.0,1.5,1.5,2.0,0.3593727617573768,-0.06083748964990056,A
